startdef metaobject NATURE coin_01
group money
object 796 0 0 0
count 0
enddef metaobject

startdef metaobject NATURE coin_02
group money
object 801 0 0 0
count 1
enddef metaobject

startdef metaobject NATURE coin_03
group money
object 806 0 0 0
count 2
enddef metaobject

startdef metaobject NATURE coin_04
group money
object 773 0 0 0
count 3
enddef metaobject

startdef metaobject NATURE gem1
group money
object 841 0 0 0
count 4
enddef metaobject

startdef metaobject NATURE gem2
group money
object 846 0 0 0
count 5
enddef metaobject

startdef metaobject NATURE gem3
group money
object 851 0 0 0
count 6
enddef metaobject

startdef metaobject NATURE gem4
group money
object 856 0 0 0
count 7
enddef metaobject

startdef metaobject NATURE gem5
group money
object 861 0 0 0
count 8
enddef metaobject

startdef metaobject NATURE gem6
group money
object 866 0 0 0
count 9
enddef metaobject

startdef metaobject NATURE gem7
group money
object 871 0 0 0
count 10
enddef metaobject

startdef metaobject NATURE
group keys
object 817 0 0 0
type key
count 11
enddef metaobject

startdef metaobject NATURE
group keys
object 818 0 0 0
type key
count 12
enddef metaobject

startdef metaobject NATURE
group keys
object 819 0 0 0
type key
count 13
enddef metaobject

startdef metaobject NATURE
group keys
object 820 0 0 0
count 14
enddef metaobject

startdef metaobject NATURE
group keys
object 821 0 0 0
count 15
enddef metaobject

startdef metaobject NATURE
group keys
object 822 0 0 0
count 16
enddef metaobject

startdef metaobject NATURE
group keys
object 823 0 0 0
count 17
enddef metaobject

startdef metaobject NATURE
group keys
object 824 0 0 0
count 18
enddef metaobject

startdef metaobject NATURE
group lockpicks
location everywhere
object 4089 0 0 0
count 19
enddef metaobject

startdef metaobject NATURE
group lockpicks
location everywhere
object 4090 0 0 0
count 20
enddef metaobject

startdef metaobject NATURE
group lockpicks
location everywhere
object 4091 0 0 0
count 21
enddef metaobject

startdef metaobject NATURE
group lockpicks
location everywhere
object 4092 0 0 0
count 22
enddef metaobject

startdef metaobject NATURE
group lockpicks
location everywhere
object 4093 0 0 0
count 23
enddef metaobject

startdef metaobject NATURE
group lockpicks
location everywhere
object 4143 0 0 0
count 24
enddef metaobject

startdef metaobject NATURE
group rings
object 825 0 0 0
count 25
enddef metaobject

startdef metaobject NATURE
group rings
object 826 0 0 0
count 26
enddef metaobject

startdef metaobject NATURE
group rings
object 827 0 0 0
count 27
enddef metaobject

startdef metaobject NATURE
group rings
object 828 0 0 0
count 28
enddef metaobject

startdef metaobject NATURE
group rings
object 829 0 0 0
count 29
enddef metaobject

startdef metaobject NATURE
group rings
object 830 0 0 0
count 30
enddef metaobject

startdef metaobject NATURE
group rings
object 831 0 0 0
count 31
enddef metaobject

startdef metaobject NATURE
group rings
object 832 0 0 0
count 32
enddef metaobject

startdef metaobject NATURE
group rings
object 833 0 0 0
count 33
enddef metaobject

startdef metaobject NATURE
group rings
object 834 0 0 0
count 34
enddef metaobject

startdef metaobject NATURE
group rings
object 835 0 0 0
count 35
enddef metaobject

startdef metaobject NATURE
group rings
object 836 0 0 0
count 36
enddef metaobject

startdef metaobject NATURE
group amuletts
object 814 0 0 0
count 37
enddef metaobject

startdef metaobject NATURE
group amuletts
object 815 0 0 0
count 38
enddef metaobject

startdef metaobject NATURE
group amuletts
object 816 0 0 0
count 39
enddef metaobject

startdef metaobject NATURE amulet_i_4
group amuletts
object 1435 0 0 0
count 40
enddef metaobject

startdef metaobject NATURE amulet_i_5
group amuletts
object 1436 0 0 0
count 41
enddef metaobject

startdef metaobject NATURE
group amuletts
object 6924 0 0 0
count 42
enddef metaobject

startdef metaobject NATURE
group amuletts
object 6925 0 0 0
count 43
enddef metaobject

startdef metaobject NATURE
group amuletts
object 6926 0 0 0
count 44
enddef metaobject

startdef metaobject NATURE armor01
group armor
object 223 0 0 0
count 45
enddef metaobject

startdef metaobject NATURE armor02
group armor
object 224 0 0 0
count 46
enddef metaobject

startdef metaobject NATURE armor03
group armor
object 225 0 0 0
count 47
enddef metaobject

startdef metaobject NATURE armor04
group armor
object 226 0 0 0
count 48
enddef metaobject

startdef metaobject NATURE armor05
group armor
object 227 0 0 0
count 49
enddef metaobject

startdef metaobject NATURE armor06
group armor
object 228 0 0 0
count 50
enddef metaobject

startdef metaobject NATURE armor07
group armor
object 230 0 0 0
count 51
enddef metaobject

startdef metaobject NATURE armor08
group armor
object 232 0 0 0
count 52
enddef metaobject

startdef metaobject NATURE armor09
group armor
object 233 0 0 0
count 53
enddef metaobject

startdef metaobject NATURE armor10
group armor
object 235 0 0 0
count 54
enddef metaobject

startdef metaobject NATURE armor11
group armor
object 242 0 0 0
count 55
enddef metaobject

startdef metaobject NATURE armor12
group armor
object 243 0 0 0
count 56
enddef metaobject

startdef metaobject NATURE armor13
group armor
object 244 0 0 0
count 57
enddef metaobject

startdef metaobject NATURE armor14
group armor
object 245 0 0 0
count 58
enddef metaobject

startdef metaobject NATURE armor15
group armor
object 250 0 0 0
count 59
enddef metaobject

startdef metaobject NATURE armor18
group armor
object 5986 0 0 0
count 60
enddef metaobject

startdef metaobject NATURE armor19
group armor
object 5987 0 0 0
count 61
enddef metaobject

startdef metaobject NATURE armor20
group armor
object 5988 0 0 0
count 62
enddef metaobject

startdef metaobject NATURE armor21
group armor
object 5989 0 0 0
count 63
enddef metaobject

startdef metaobject NATURE armor22
group armor
object 5990 0 0 0
count 64
enddef metaobject

startdef metaobject NATURE armor23
group armor
object 5991 0 0 0
count 65
enddef metaobject

startdef metaobject NATURE armor24
group armor
object 5992 0 0 0
count 66
enddef metaobject

startdef metaobject NATURE armor25
group armor
object 5993 0 0 0
count 67
enddef metaobject

startdef metaobject NATURE belt1
group belts
object 5994 0 0 0
count 68
enddef metaobject

startdef metaobject NATURE belt2
group belts
object 5995 0 0 0
count 69
enddef metaobject

startdef metaobject NATURE belt3
group belts
object 5996 0 0 0
count 70
enddef metaobject

startdef metaobject NATURE belt4
group belts
object 5997 0 0 0
count 71
enddef metaobject

startdef metaobject NATURE belt5
group belts
object 5998 0 0 0
count 72
enddef metaobject

startdef metaobject NATURE belt6
group belts
object 5999 0 0 0
count 73
enddef metaobject

startdef metaobject NATURE belt7
group belts
object 6000 0 0 0
count 74
enddef metaobject

startdef metaobject NATURE belt8
group belts
object 6001 0 0 0
count 75
enddef metaobject

startdef metaobject NATURE belt910
group belts
object 6002 0 0 0
count 76
enddef metaobject

startdef metaobject NATURE belt11
group belts
object 6003 0 0 0
count 77
enddef metaobject

startdef metaobject NATURE belt12
group belts
object 6004 0 0 0
count 78
enddef metaobject

startdef metaobject NATURE belt12
group belts
object 6005 0 0 0
count 79
enddef metaobject

startdef metaobject NATURE belt13
group belts
object 6006 0 0 0
count 80
enddef metaobject

startdef metaobject NATURE belt14
group belts
object 6007 0 0 0
count 81
enddef metaobject

startdef metaobject NATURE belt15
group belts
object 6008 0 0 0
count 82
enddef metaobject

startdef metaobject NATURE belt16
group belts
object 6009 0 0 0
count 83
enddef metaobject

startdef metaobject NATURE belt17
group belts
object 6010 0 0 0
count 84
enddef metaobject

startdef metaobject NATURE belt18
group belts
object 6011 0 0 0
count 85
enddef metaobject

startdef metaobject NATURE belt19
group belts
object 6012 0 0 0
count 86
enddef metaobject

startdef metaobject NATURE night_gloves
group gloves
object 6498 0 0 0
count 87
enddef metaobject

startdef metaobject NATURE bone_gloves
group gloves
object 6499 0 0 0
count 88
enddef metaobject

startdef metaobject NATURE dragon_gloves
group gloves
object 6500 0 0 0
count 89
enddef metaobject

startdef metaobject NATURE heavy_gauntlets
group gloves
object 6501 0 0 0
count 90
enddef metaobject

startdef metaobject NATURE black_gauntlets
group gloves
object 6502 0 0 0
count 91
enddef metaobject

startdef metaobject NATURE gauntlets
group gloves
object 6503 0 0 0
count 92
